wow	let 's go .
she okay ?	i hope so .
they do to !	they do not !
did you change your hair ?	no .
no .	you might wanna think about it
where did he go ? he was just here .	who ?
who ?	joey .
great	would you mind getting me a drink , cameron ?
he practically proposed when he found out we had the same <unk> . i mean . dr. <unk> is great an all , but he 's not exactly relevant party conversation .	is he <unk> or dry ?
is he <unk> or dry ?	combination . i do n't know -- i thought he 'd be different . more of a gentleman ...
bianca , i do n't think the <unk> of dating joey <unk> are going to include <unk> and <unk> .	sometimes i wonder if the guys we 're supposed to want to go out with are the ones we actually want to go out with , you know ?
sometimes i wonder if the guys we 're supposed to want to go out with are the ones we actually want to go out with , you know ?	all i know is -- i 'd give up my private line to go out with a guy like joey .
i have to be home in twenty minutes .	i do n't have to be home 'til two .
you think you ' re the only <unk> at the prom ?	i did .
it 's more	expensive ?
exactly so , you going to <unk> <unk> 's thing on saturday ?	hopefully .
so yeah , i 've got the <unk> <unk> thing going -- and the tube sock gig `` that 's gon na be huge . and then i 'm up for an ad for queen harry next week .	queen harry ?
queen harry ?	it 's a gay cruise line , but i 'll be , like , wearing a uniform and stuff .
